81,1887,A1
1847,59,A2
81,1318,A3
425,540,A4
456,1300,A5
694,511,A6
162,1089,A7
728,1274,A8
1211,1445,A9
1237,1106,A10
495,1466,A11
1528,258,A12
47,1947,A13
287,888,A14
790,1015,A15
1541,408,A16
1387,831,A17
1429,1356,A18
1737,631,A19
1485,1026,A20
413,1090,A21
1194,563,A22
433,147,A23
78,324,A24
159,1353,A25
1957,1721,A26
1189,199,A27
1000,705,A28
888,538,A29
1703,1355,A30
451,510,A31
605,156,A32
266,1828,A33
1561,1202,A34
783,1746,A35
1563,376,A36
1002,1718,A37
1447,1094,A38
1577,1463,A39
1996,420,A40
623,953,A41
1137,1133,A42
1241,59,A43
1033,643,A44
1891,2,A45
878,1336,A46
546,1107,A47
1940,503,A48
552,1843,A49
205,1598,A50
