81,1887,1847,A1
59,81,1318,A2
425,540,456,A3
1300,694,511,A4
162,1089,728,A5
1274,1211,1445,A6
1237,1106,495,A7
1466,1528,258,A8
47,1947,287,A9
888,790,1015,A10
1541,408,1387,A11
831,1429,1356,A12
1737,631,1485,A13
1026,413,1090,A14
1194,563,433,A15
147,78,324,A16
159,1353,1957,A17
1721,1189,199,A18
1000,705,888,A19
538,1703,1355,A20
451,510,605,A21
156,266,1828,A22
1561,1202,783,A23
1746,1563,376,A24
1002,1718,1447,A25
1094,1577,1463,A26
1996,420,623,A27
953,1137,1133,A28
1241,59,1033,A29
643,1891,2,A30
878,1336,546,A31
1107,1940,503,A32
552,1843,205,A33
1598,1425,1351,A34
1515,1757,1687,A35
10,1410,1285,A36
590,1632,1098,A37
553,591,582,A38
1384,1297,1267,A39
137,1271,1894,A40
1726,1802,1981,A41
79,66,1270,A42
493,1086,1819,A43
981,52,1175,A44
885,1710,1387,A45
1749,1528,818,A46
384,1903,1224,A47
547,1612,1532,A48
1616,1839,540,A49
1786,1051,76,A50
1640,1351,844,A51
364,305,1183,A52
801,90,1602,A53
258,1767,1231,A54
1578,154,1822,A55
1223,1342,208,A56
1743,1968,1166,A57
1710,535,440,A58
904,1162,657,A59
415,1371,1039,A60
1430,1513,1700,A61
1359,720,783,A62
870,984,247,A63
10,565,162,A64
829,1920,48,A65
756,1695,666,A66
200,1456,629,A67
1092,831,1577,A68
1886,1320,1399,A69
1162,1447,292,A70
1888,611,1103,A71
1888,318,1756,A72
19,1807,157,A73
652,675,181,A74
1853,795,417,A75
1393,470,996,A76
1386,632,520,A77
260,1922,1029,A78
1661,60,420,A79
1079,954,1464,A80
60,1551,1181,A81
1757,1516,600,A82
1039,637,1533,A83
1561,804,685,A84
1509,1215,1719,A85
1014,1040,662,A86
1740,0,1284,A87
1173,235,443,A88
421,390,574,A89
869,70,336,A90
1338,1472,1544,A91
395,174,1237,A92
1524,1293,1606,A93
1648,1352,1420,A94
622,371,117,A95
151,1265,682,A96
1479,592,129,A97
231,721,855,A98
511,1343,1053,A99
1166,1859,1867,A100
